feature,source_family,transform_type,identity_proxy,development_nonmissing_rows,development_coverage,development_unique_nonmissing,development_standard_deviation,development_transitions_with_data,minimum_required_rows,minimum_required_transitions,target_blind_keep
demographic__נכנסים_מיישובים_אחרים_עד_גיל_14__level,demographic,level,False,386,0.0408638577175524,256,538.3039521272806,2,150,2,True
demographic__נכנסים_מיישובים_אחרים_גיל_29_15__level,demographic,level,False,387,0.04096972263391912,244,911.6147073977825,2,150,2,True
demographic__נכנסים_מיישובים_אחרים_גיל_64_30__level,demographic,level,False,388,0.041075587550285834,258,894.6030869922593,2,150,2,True
demographic__נכנסים_מיישובים_אחרים_גיל_65_ומעלה__level,demographic,level,False,271,0.028689392335380055,133,135.34400564240735,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_סה_כ__level,demographic,level,False,395,0.041816641964852845,327,2714.767675334591,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_גברים__level,demographic,level,False,389,0.04118145246665255,274,1408.4836619038406,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_נשים__level,demographic,level,False,392,0.0414990472157527,290,1320.2568900910035,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_עד_גיל_14__level,demographic,level,False,384,0.04065212788481897,247,761.0253905163789,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_גיל_29_15__level,demographic,level,False,392,0.0414990472157527,254,752.8000091977025,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_גיל_64_30__level,demographic,level,False,388,0.041075587550285834,255,1180.0283561205497,2,150,2,True
demographic__יוצאים_ליישובים_אחרים_גיל_65_ומעלה__level,demographic,level,False,273,0.028901122168113486,137,167.87337857637723,2,150,2,True
demographic__הגירה_בתוך_הרשות_המקומית__level,demographic,level,False,346,0.03662926106288376,278,4922.310107743262,2,150,2,True
demographic__נישאים_סה_כ_גברים_ונשים__level,demographic,level,False,393,0.041604912132119413,295,1097.0062242221961,2,150,2,True
demographic__נישאים_שיעור_ל_1_000_תושבים_לא_נשואים_בני_15_ומעלה__level,demographic,level,False,393,0.041604912132119413,283,17.448878963522496,2,150,2,True
demographic__מתגרשים_סה_כ_גברים_ונשים__level,demographic,level,False,391,0.04139318229938598,184,283.3302833194245,2,150,2,True
demographic__מתגרשים_שיעור_ל_1_000_תושבים_נשואים_בני_15_ומעלה__level,demographic,level,False,386,0.0408638577175524,123,3.057793507170562,2,150,2,True
