model,feature,feature_type,training_missing_pct,training_unique_non_missing,kept,reason
Ridge — socioeconomic only,current_feature__income_standard__avg_monthly_wage_total,numeric,6.23608017817372,421,True,kept
Ridge — socioeconomic only,current_feature__income_standard__avg_monthly_wage_men,numeric,6.23608017817372,418,True,kept
Ridge — socioeconomic only,current_feature__income_standard__avg_monthly_wage_women,numeric,6.23608017817372,417,True,kept
Ridge — socioeconomic only,current_feature__income_standard__pct_below_minimum_wage_direct,numeric,50.11135857461024,162,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income_standard__below_minimum_wage_count,numeric,100.0,0,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income_standard__income_earner_count,numeric,50.11135857461024,222,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income_standard__gini_wage,numeric,50.11135857461024,26,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income_standard__gender_wage_ratio,numeric,6.23608017817372,421,True,kept
Ridge — socioeconomic only,current_feature__income_standard__pct_below_minimum_wage,numeric,50.11135857461024,162,False,missingness_above_threshold
Ridge — socioeconomic only,current_feature__income_standard__gini_wage_2019_static,numeric,6.23608017817372,26,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מספר מקבלי דמי אבטלה 
(סה""כ שנתי",numeric,0.22271714922048996,419,True,kept
Ridge — socioeconomic only,"current_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי",numeric,0.22271714922048996,387,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",numeric,0.4454342984409799,366,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",numeric,1.55902004454343,319,True,kept
Ridge — socioeconomic only,"current_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי",numeric,0.4454342984409799,321,True,kept
Ridge — socioeconomic only,"current_feature__welfare__גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים",numeric,0.22271714922048996,205,True,kept
Ridge — socioeconomic only,"current_feature__welfare__דמי אבטלה ממוצעים ליום
(ש""ח",numeric,0.22271714922048996,309,True,kept
Ridge — socioeconomic only,"current_feature__welfare__ימי זכאות לדמי אבטלה
(ממוצע שנתי",numeric,0.22271714922048996,238,True,kept
Ridge — socioeconomic only,"current_feature__welfare__ניצול ימי אבטלה בשנה 
(ממוצע שנתי",numeric,0.22271714922048996,247,True,kept
Ridge — socioeconomic only,"current_feature__welfare__ניצול ימי אבטלה בשנה 
(חציון שנתי",numeric,0.22271714922048996,98,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מקבלי הכשרה מקצועית
סה""כ",numeric,96.65924276169265,9,False,missingness_above_threshold
Ridge — socioeconomic only,"current_feature__welfare__מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה",numeric,0.22271714922048996,419,True,kept
Ridge — socioeconomic only,current_feature__welfare__אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה,numeric,0.22271714922048996,430,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה",numeric,3.5634743875278394,369,True,kept
Ridge — socioeconomic only,current_feature__welfare__מקבלי גמלאות סיעוד (סוף שנה,numeric,0.6681514476614699,353,True,kept
Ridge — socioeconomic only,current_feature__welfare__מקבלי גמלאות נכות כללית (סוף שנה,numeric,0.22271714922048996,390,True,kept
Ridge — socioeconomic only,current_feature__welfare__מקבלי גמלאות ניידות (סוף שנה,numeric,0.22271714922048996,207,True,kept
Ridge — socioeconomic only,current_feature__welfare__מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה,numeric,0.6681514476614699,194,True,kept
